metro_area,city_name,zip_code,population,Total_QSRs,customer_satisfaction,residents_per_qsr
TN,Nashville,37208,17407,3,1.1666666666666667,5802.333333333333
TN,Nashville,37209,37480,24,9.625,1561.6666666666667
TN,Nashville,37210,17583,8,1.0625,2197.875
TN,Nashville,37211,78057,42,5.154761904761905,1858.5
TN,Nashville,37212,20902,5,4.9,4180.4
TN,Nashville,37213,114,0,NA,Inf
TN,Nashville,37214,30971,38,1.381578947368421,815.0263157894736
TN,Nashville,37215,21803,12,19.083333333333332,1816.9166666666667
TN,Nashville,37216,18905,10,-9.15,1890.5
TN,Nashville,37217,30979,18,4.666666666666667,1721.0555555555557
TN,Nashville,37218,15820,3,-0.8333333333333334,5273.333333333333
TN,Nashville,37219,1060,6,22.25,176.66666666666666
TN,Nashville,37220,5579,0,NA,Inf
TN,Nashville,37221,39710,27,9.25925925925926,1470.7407407407406
TN,Nashville,37222,NA,0,NA,Inf
TN,Nashville,37224,NA,0,NA,Inf
TN,Nashville,37227,NA,0,NA,Inf
TN,Nashville,37228,1095,10,-4.65,109.5
TN,Nashville,37229,NA,0,NA,Inf
TN,Nashville,37230,NA,0,NA,Inf
TN,Nashville,37232,NA,0,NA,Inf
TN,Nashville,37234,NA,0,NA,Inf
TN,Nashville,37235,NA,0,NA,Inf
TN,Nashville,37236,NA,0,NA,Inf
TN,Nashville,37238,NA,0,NA,Inf
TN,Nashville,37240,747,0,NA,Inf
TN,Nashville,37241,NA,0,NA,Inf
TN,Nashville,37242,NA,0,NA,Inf
TN,Nashville,37243,NA,0,NA,Inf
TN,Nashville,37244,NA,0,NA,Inf
TN,Nashville,37246,NA,0,NA,Inf
TN,Nashville,37249,NA,0,NA,Inf
TN,Nashville,37250,NA,0,NA,Inf
TN,Nashville,38476,954,0,NA,Inf
MO,St Louis,62001,1664,0,NA,Inf
MO,St Louis,62002,31489,18,3.2222222222222223,1749.388888888889
MO,St Louis,62010,11571,3,4.833333333333333,3857
MO,St Louis,62012,6500,0,NA,Inf
MO,St Louis,62018,2977,0,NA,Inf
MO,St Louis,62021,865,0,NA,Inf
MO,St Louis,62022,956,0,NA,Inf
